
Mon May 27 2024 14:29:03 GMT-0700 (Pacific Daylight Time)
===================================================================================
#show processes memory
Processor Pool Total: 1333163004 Used:  327827576 Free: 1005335428
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    6295128 Used:    6294296 Free:        832
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 110   0        448      27256      29960          0          0 EM_SHIM_NOTIFY_T
 111   0          0          0      29960          0          0 REDUNDANCY peer 
 112   0          0          0      30096          0          0 100ms check     
 113   0          0          0      29960          0          0 DHCPD HA        
 114   0          0          0      29960          0          0 ARP HA          
 115   0          0          0      17960          0          0 XDR RRP RF waite
 116   0        448        448      41960          0          0 SISF HA Process 
 117   0          0          0      29960          0          0 ACCESS_TUNNEL CF
 118   0          0          0      29960          0          0 DHCP Snooping HA
 119   0          0          0      29960          0          0 MATM CF Flow Con
 120   0          0     119464      29960          0          0 NGWC Learning Pr
 121   0  320584008  230685944      79408    1483678    1483672 IOSXE-RP Punt Se
 122   0          0          0      29960          0          0 IOSXE-RP Punt IP
 123   0          0          0      29960          0          0 ACL Log Punt Ser
 124   0          0          0      29960          0          0 ACL deny punt se
 125   0       6864          0      36824          0          0 L2 LISP Punt Pro
 126   0          0          0      29960          0          0 OFSDN Punject Pr
 127   0          0          0      29960          0          0 SIS Punt Process
 128   0          0          0      29960          0          0 NGWC ILP CF Proc
 129   0          0          0      29960          0          0 NGWC Configurati
 130   0          0  379596304      29960          0          0 SIF-IOSD IPC pro
 131   0          0          0      29960          0          0 IOSXE-RP SPA TSM
 132   0        640       4608      29960          0          0 STACK MGR Proces
 133   0          0          0      29960          0          0 IPV6_ND HA      
 134   0          0          0      17960          0          0 CEF RRP RF waite
 135   0          0          0      29960          0          0 DHCPC HA        
 136   0          0          0      29960          0          0 DHCPv6 Relay HA 
 137   0          0          0      29960          0          0 DHCPv6 Server HA
 138   0          0          0      53960          0          0 Crypto PKI-HA   
 139   0          0          0      29960          0          0 Network-rf Notif
 140   0          0          0      29960          0          0 CWAN APS HA Proc
 141   0      40192      65560      52848          0          0 RF Master Main T
 142   0       3152          0      33112          0          0 RF Master Status
 143   0       4240       3152      57576          0          0 SACRcvWQWrk1    
 144   0      45888      37592      59336          0          0 SACRcvWQWrk2    
 145   0      81984      73120      58304          0          0 SASRcvWQWrk2    
 146   0  150695440  146607320      63720          0          0 SASRcvWQWrk3    
 147   0          0          0      29960          0          0 BACK CHECK      
 148   0 11894735432 11890036960    4382152    1206856    1206856 SAMsgThread     
 149   0      10544        448      40056          0          0 Compute load avg
 150   0   86564296   86623976      35912          0          0 Per-minute Jobs 
 151   0          0          0      41960          0          0 Per-Second Jobs 
 152   0          0          0      29960          0          0 AggMgr Process  
 153   0       4928       4928      53960          0          0 ACT2 Crypto Engi
 154   0          0          0      29960          0          0 Transport Port A
 155   0          0          0      29960          0          0 SFF8472         
 156   0      17888       9464      50384          0          0 EEM ED Identity 
 157   0          0          0      29960          0          0 IOSXE-RP FastPat
 158   0          0          0      29960        244        244 NGWC L2M        
